sessionYear,patronName,amendmentCount,totalNetAmount,largestAmendment,smallestAmendment
2024,Wilt,1,2177293.0,2177293.0,2177293.0
2024,Garrett,1,2057575.0,2057575.0,2057575.0
2024,Helmer,14,1587745.0,787745.0,50000.0
2024,Lovejoy,2,1508000.0,1500000.0,8000.0
2024,Orrock,1,1400000.0,1400000.0,1400000.0
2024,Simon,3,1324000.0,1000000.0,150000.0
2024,Glass,6,1200000.0,200000.0,200000.0
2024,Levere Bolling,2,1100000.0,1000000.0,100000.0
2024,Gilbert,2,1057553.0,1000000.0,57553.0
2024,Ware,2,1009000.0,929000.0,80000.0
2024,McGuire,1,1000000.0,1000000.0,1000000.0
2024,Marshall,4,829655.0,315788.0,69817.0
2024,Cherry,4,827000.0,577000.0,25000.0
2024,Seibold,7,750000.0,250000.0,50000.0
2024,Sturtevant,14,700000.0,50000.0,50000.0
2024,Earley,5,300000.0,100000.0,50000.0
2024,Keys-Gamarra,5,235000.0,50000.0,35000.0
2024,Gardner,4,200000.0,50000.0,50000.0
2024,Fowler,1,100000.0,100000.0,100000.0
2024,Convirs-Fowler,1,50000.0,50000.0,50000.0
2024,Davis,1,50000.0,50000.0,50000.0
2024,Freitas,1,50000.0,50000.0,50000.0
2024,Henson,1,50000.0,50000.0,50000.0
2024,Oates,1,50000.0,50000.0,50000.0
2024,Wright,1,50000.0,50000.0,50000.0
2024,French,1,50000.0,50000.0,50000.0
2024,Subramanyam,1,50000.0,50000.0,50000.0
2025,Hashmi,39,1565287766.0,1188000000.0,50000.0
2025,Locke,43,1301854420.0,909000000.0,7000.0
2025,Deeds,44,692559606.0,159052651.0,33000.0
2025,Carr,35,568713294.0,150000000.0,75000.0
2025,Surovell,18,513108070.0,500000000.0,50000.0
2025,Sickles,35,465251813.0,187727211.0,75000.0
2025,Favola,35,406957702.0,138246136.0,50000.0
2025,Ballard,5,400835152.0,370000000.0,50000.0
2025,Aird,22,391504639.0,222900000.0,4960.0
2025,Bulova,18,369045123.0,222900000.0,250000.0
2025,Boysko,36,356908121.0,222900000.0,50000.0
2025,Head,12,312781751.0,290869870.0,72447.0
2025,Rasoul,13,295756252.0,277500000.0,100000.0
2025,Krizek,14,254870291.0,200000000.0,25000.0
2025,Callsen,9,243470000.0,131700000.0,50000.0
2025,Simonds,10,235405000.0,222900000.0,50000.0
2025,Coyner,23,232328310.0,80000000.0,25000.0
2025,Bennett-Parker,5,230811705.0,125000000.0,500000.0
2025,Keys-Gamarra,3,206000000.0,205000000.0,500000.0
2025,Sewell,13,192128363.0,147094433.0,125000.0
